NAME,OCS_NAME,LONG_NAME
,Berkeley FF Mlk 1qt,Berkeley Fat Free Milk (1qt)
,Berkeley FF Skim Mlk .5pt,Berkeley Fat Free Skim Milk (0.5pt)
,Berkeley 1/2&1/2 Mlk 1qt,Berkeley Half & Half Milk (1qt)
,Berkeley Homo Mlk .5gal,Berkeley Homogenized Milk (.5gal)
,Berkeley Vitmn D Mlk .5pt,Berkeley Vitamin D Milk (.5 pt.)
BigAAngusCharChs 8.53oz,BigAAngusCharChs 8.53oz,Big A Angus Charbroil with Cheese #1438 (8.53oz)
BigAZ BBQ Burger 8.1oz,BigAZ BBQ Burger 8.1oz,Big AZ BBQ Beef Charbroil #1391 (8.1oz)
BumbleB Tuna Kit 4oz,BumbleB Tuna Kit 4oz,Bumble Bee Tuna Salad Kit (4oz)
,Cascadian Farm Hny Nut Os 10.4oz,Cascadian Farm Honey Nut Os (10.4oz)
,Silk Van Soy Mlk .5gal,Silk Vanilla Soy Milk (.5gal)
,CrmOLand 1% Mlk 1qt,Cream O Land 1% Milk (1qt)
,CrmOLand FF 1/2&1/2 Mlk 1qt,Cream O Land Fat Free Half and Half Milk (1qt)
,CrmOLand Skim Mlk PL 1qt,Cream O Land Skim Milk Plastic (1qt)
,CrmOLand Whl Mlk PL 1qt,Cream O Land Whole Milk Plastic (1qt)
CrytlLtOTGWldSBry.13oz,CrytlLtOTGWldSBry.13oz,Crystal Light On The Go Energy Wild Strawberry (.13oz)
,zzzCrytl Lt OTG Hny Lmn Grn T,zzzCrystal Light On The Go Honey Lemon Green Tea
CrytlLtOTGPchT .09oz,CrytlLtOTGPchT .09oz,Crystal Light On The Go Peach Tea (.09oz)
Dannon Frt Btm Pch 6oz,Dannon Frt Btm Pch 6oz,Dannon Fruit on the Bottom Peach Yogurt (6oz)
Dannon L&F PchYogrt 6oz,Dannon L&F PchYogrt 6oz,Dannon Light & Fit Peach Yogurt (6oz)
,Darigld 1% Mlk 1gal,Darigold 1% Milk (1gal)
,Darigld 2% Mlk .5gal,Darigold 2% Milk (.5gal)
Darigold 2% Mlk 8oz,Darigold 2% Mlk 8oz,Darigold 2% Milk (8oz)
,zzzzDarigld 1% Choc Mlk 8oz,zzzDarigold 1% Chocolate Milk (8oz)
,Darigld 1% Choc Mlk .5gal,Darigold 1% Chocolate Milk (.5gal)
Darigold FFChoc Mlk 8oz,Darigold FFChoc Mlk 8oz,Darigold Fat Free Chocolate Milk (8oz)
,Darigld Medosweet 2% Mlk 1gal,Darigold Medosweet 2% Milk (1gal)
,Darigld Non Fat Mlk .5gal,Darigold Non-Fat Milk (.5gal)
,Darigld Org 2% Mlk .5gal,Darigold Organic 2% Milk (.5gal)
,Darigld Org Homo Mlk .5gal,Darigold Organic Homogenized Milk (.5gal)
,Darigld Org Skim Mlk .5gal,Darigold Organic Skim Milk (.5gal)
,Darigld Skim Mlk .5gal,Darigold Skim Milk (.5gal)
Darigold Skim Mlk 8oz,Darigold Skim Mlk 8oz,Darigold Skim Milk (8oz)
,zzzDEgbert Mlk Prod 2ltr,zzzDouwe Egbert Milk Product (2ltr)
,Dt Rockstar Engy 8oz,Diet Rockstar Energy (8oz)
